base_time,base_x,joint_time,target_pos_0,actual_pos_0,actual_vel_0,target_pos_1,actual_pos_1,actual_vel_1,target_pos_2,actual_pos_2,actual_vel_2,target_pos_3,actual_pos_3,actual_vel_3,target_pos_4,actual_pos_4,actual_vel_4,target_pos_5,actual_pos_5,actual_vel_5,target_pos_6,actual_pos_6,actual_vel_6,target_pos_7,actual_pos_7,actual_vel_7,torque_time,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,contact_time,contact_fx,contact_fy,contact_fz,contact_magnitude
0.0,0.0,0.0,0.0,0.0,0.0,-0.11079101853620776,-0.5,0.0,-1.5782172325201154,-1.2,0.0,-1.5782172325201154,-1.2,0.0,0.0,0.0,0.0,-0.85,-0.5,0.0,-1.0,-1.2,0.0,-1.0,-1.2,0.0,0.0,-0.75,0.5,0.17443986541476275,0.17443986541476275,-0.75,-0.5,0.3999999999999999,0.3999999999999999,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.005,-0.04705415665925716,-0.03913063721565639,-9.47204363946947,-0.026511467576382,-0.41414002610601447,22.127936679703893,-1.5313952597646567,-1.187745990580168,2.6911087715108053,-1.5313952597646567,-1.1906855208654645,3.52451104057167,-0.04705415665925716,-0.03966031418673446,-8.783975511525304,-0.8735270783296285,-0.5493200071947983,-10.054167740344576,-1.0,-1.1802098012452884,6.274006179988353,-1.0,-1.176037576149238,7.286218663279448,0.001,-0.3191028646811372,0.5,-0.357368167214737,-0.12386188543152832,-0.37826484346468137,-0.5,-0.11573316651712762,-0.5,0.001,0.0,0.0,0.0,0.0
0.002,-1.8868052254807358e-06,0.010000000000000002,-0.09369065729286233,-0.0846690893697568,-8.769977742877323,0.05826968317031553,-0.2956149900028965,23.244146019530547,-1.4842946204609357,-1.1752535835028095,2.9765285493579823,-1.4842946204609357,-1.1792854757422282,1.1965699195286592,-0.09369065729286233,-0.08540844193369003,-8.78206783800037,-0.8968453286464312,-0.6035988913272311,-11.08818242165269,-1.0,-1.1652704786872337,0.8956040247200843,-1.0,-1.1625709876689851,-0.08264540362963668,0.002,-0.16980877172625125,0.5,0.16650729430402122,0.17593629842297887,-0.1412072169252589,0.04113508003747224,0.3072175458286469,0.3713396534290748,0.002,0.0,0.0,0.0,0.0
0.003,-2.0544346130942124e-06,0.015000000000000006,-0.1394955530196147,-0.13003103074048877,-8.75821135616408,0.14279991020787397,-0.18113502872775464,21.99995107755188,-1.4373333832178479,-1.1593114460607445,3.578268829281142,-1.4373333832178479,-1.1614020630596258,5.078765784326427,-0.1394955530196147,-0.13078367600255567,-8.854228905930231,-0.9197477765098073,-0.6532114604665903,-9.047723379036931,-1.0,-1.1472274393719446,5.131951433738904,-1.0,-1.1440356414982213,6.082603197166623,0.003,-0.08257646629092473,0.38099384772111994,-0.27763561106974854,-0.14467395131885397,-0.005484335024387756,-0.08056722095456237,-0.2740358627285322,-0.391387413591224,0.003,0.0,0.0,0.0,0.0
0.004,2.1207889723039437e-06,0.02000000000000001,-0.18406227634233907,-0.17441101398253647,-8.549026654473046,0.2263289172568885,-0.06959436683792736,21.847591763598576,-1.3909283793017286,-1.1408251496137687,4.0041807998676004,-1.3909283793017286,-1.1442816708488566,2.208618755971845,-0.18406227634233907,-0.17504920299835808,-8.483096262176488,-0.9420311381711695,-0.7010513645609815,-9.717134718900557,-1.0,-1.1349599188232942,0.7530752839019463,-1.0,-1.1331663936254008,-0.21461708090191767,0.004,-0.0904272357904115,-0.17614264804340973,0.15099437728633136,0.1763778804688565,-0.013539024145539008,0.09803870440701401,0.25733431051343586,0.37464204812516977,0.004,0.0,0.0,0.0,0.0
0.005,1.1227120402270518e-05,0.025000000000000015,-0.2269952498697735,-0.21747296907091995,-8.310518013307174,0.30811529493745293,0.037422170886684175,20.531068997854508,-1.3454915028125263,-1.1204427046370644,4.35641176634009,-1.3454915028125263,-1.121953559511654,5.902558852018884,-0.2269952498697735,-0.21815346881399425,-8.392911536984458,-0.9634976249348868,-0.7446391077389354,-7.989403678152036,-1.0,-1.1201788779266995,4.217455514995592,-1.0,-1.1178653098206528,5.11732723110577,0.005,-0.0069377211973917375,0.2555759056717928,-0.015791384085103943,-0.09325255042059732,-0.07468518004965227,-0.11214489136377126,-0.2669810155082586,-0.3765467140294687,0.005,0.0,0.0,0.0,0.0
0.006,1.7266247291423643e-05,0.03000000000000002,-0.26791339748949844,-0.2587739194735704,-7.949451207113622,0.38743310157130284,0.14048255393755904,20.163669019569433,-1.3014260546826095,-1.098932488684511,4.4444029842951895,-1.3014260546826095,-1.1018269302187338,2.6854558374241613,-0.26791339748949844,-0.25935342370177794,-7.893018827619007,-0.9839566987447492,-0.7862450548605405,-8.402544486892698,-1.0,-1.1101448285669244,0.6022455356828877,-1.0,-1.1091271498163646,-0.32700282735950115,0.006,-0.05558434703637945,-0.175195419722057,-0.045949205780908,0.10234822704590485,0.005675900572064391,0.09906336531353654,0.269645357346404,0.35260431991660857,0.006,0.0,0.0,0.0,0.0
0.007,2.657719196461137e-05,0.035000000000000024,-0.3064535268264884,-0.29798207843259034,-7.56250811949785,0.46357830669154415,0.2380614461333785,18.67323044875904,-1.2591231629491422,-1.0767463784669729,4.612433187851943,-1.2591231629491422,-1.0776927440036574,6.215546398011098,-0.3064535268264884,-0.29858279003673277,-7.6230532267553395,-1.0032267634132441,-0.8238872739164901,-6.916085918953106,-1.0,-1.0980106501866966,3.49190357486093,-1.0,-1.0964712581487812,4.327413596048746,0.007,0.0606844125887259,0.09557624914996732,0.05529563701657325,-0.11941434235101123,0.01632048127836994,-0.06847441548253796,-0.2782848221520713,-0.35462792950198607,0.007,0.0,0.0,0.0,0.0
0.008,3.329118629152825e-05,0.04000000000000003,-0.34227355296434453,-0.3346894440280376,-7.055293395267922,0.535875040066918,0.3306881422256227,18.096931421769433,-1.2189583110739344,-1.0547216914696536,4.389138672124466,-1.2189583110739344,-1.0570663854597726,2.6665956140221687,-0.34227355296434453,-0.3351919670383539,-7.00467441381432,-1.0211367764821722,-0.8593499210493872,-7.12803948198903,-1.0,-1.0898241189608797,0.46862381107697226,-1.0,-1.0894770598008474,-0.4189402224612362,0.008,-0.0011551219958928702,-0.11767372114414942,-0.0651956026750301,0.11237720982065824,0.021610774066296745,0.10276450766111711,0.25293623272475096,0.34366842080668575,0.008,0.0,0.0,0.0,0.0
0.009000000000000001,4.155302747473212e-05,0.04500000000000003,-0.37505553481522996,-0.36861182198542985,-6.5354707589333305,0.6036815907738212,0.41688855217227466,16.435502814023472,-1.181288005125655,-1.03309293072986,4.404422824006614,-1.181288005125655,-1.0334742215763146,6.076677738621911,-0.37505553481522996,-0.36910766371724163,-6.5762029072778505,-1.0375277674076149,-0.8910409851427096,-5.819778713677016,-1.0,-1.0798491568630768,2.9098953154453855,-1.0,-1.0789886489035394,3.675827821493063,0.009000000000000001,0.03979078704392591,0.056800552537916715,0.06731151224610299,-0.12589896147972568,0.026653735172213845,-0.06331115240282276,-0.26722248319187414,-0.3429425168721585,0.009000000000000001,0.0,0.0,0.0,0.0
